4,0.00111,1
4,0.00223,1
4,0.00334,1
4,0.00446,1
4,0.00558,1
4,0.00669,1
4,0.0078,1
4,0.00891,1
4,0.01002,1
4,0.01113,1
4,0.01224,1
4,0.01335,1
4,0.01446,1
4,0.01558,1
4,0.0167,1
4,0.01782,1
4,0.01893,1
4,0.02004,1
4,0.02115,1
4,0.02227,1
4,0.02338,1
4,0.02449,1
4,0.0256,1
4,0.02671,1
4,0.02782,1
4,0.02893,1
4,0.03004,1
4,0.03115,1
4,0.03226,1
4,0.03337,1
4,0.03448,1
4,0.03559,1
4,0.0367,1
4,0.03781,1
4,0.03892,1
4,0.04003,1
4,0.04114,1
4,0.04225,1
4,0.04336,1
4,0.04447,1
4,0.04558,1
4,0.04669,1
4,0.0478,1
4,0.04891,1
4,0.05002,1
4,0.05113,1
4,0.05224,1
4,0.05335,1
4,0.05446,1
4,0.05557,1
4,0.05669,1
4,0.0578,1
4,0.05891,1
4,0.06002,1
4,0.06113,1
4,0.06224,1
4,0.06335,1
4,0.06446,1
4,0.06557,1
4,0.06668,1
4,0.06779,1
4,0.0689,1
4,0.07001,1
4,0.07112,1
4,0.07223,1
4,0.07334,1
4,0.07445,1
4,0.07556,1
4,0.07667,1
4,0.07778,1
4,0.07889,1
4,0.08,1
4,0.08111,1
4,0.08222,1
4,0.08333,1
4,0.08444,1
4,0.08555,1
4,0.08666,1
4,0.08777,1
4,0.08888,1
4,0.08999,1
4,0.0911,1
4,0.09221,1
4,0.09332,1
4,0.09443,1
4,0.09554,1
4,0.09665,1
4,0.09776,1
4,0.09887,1
4,0.09998,1
4,0.10109,1
4,0.1022,1
4,0.10331,1
4,0.10442,1
4,0.10553,1
4,0.10664,1
4,0.10775,1
4,0.10886,1
4,0.10997,1
4,0.11108,1
4,0.11219,1
4,0.1133,1
4,0.11441,1
4,0.11552,1
4,0.11663,1
4,0.11774,1
4,0.11885,1
4,0.11997,1
4,0.12108,1
4,0.12219,1
4,0.1233,1
4,0.12441,1
4,0.12552,1
4,0.12663,1
4,0.12774,1
4,0.12885,1
4,0.12996,1
4,0.13107,1
4,0.13218,1
4,0.13329,1
4,0.1344,1
4,0.13551,1
4,0.13662,1
4,0.13773,1
4,0.13884,1
4,0.13995,1
4,0.14106,1
4,0.14217,1
4,0.14328,1
4,0.14439,1
4,0.1455,1
4,0.14661,1
4,0.14772,1
4,0.14883,1
4,0.14994,1
4,0.15105,1
4,0.15216,1
4,0.15327,1
4,0.15438,1
4,0.15549,1
4,0.1566,1
4,0.15771,1
4,0.15882,1
4,0.15993,1
4,0.16104,1
4,0.16215,1
4,0.16326,1
4,0.16437,1
4,0.16548,1
4,0.16659,1
4,0.1677,1
4,0.16881,1
4,0.16992,1
4,0.17103,1
4,0.17214,1
4,0.17325,1
4,0.17436,1
4,0.17547,1
4,0.17658,1
4,0.17769,1
4,0.1788,1
4,0.17991,1
4,0.18102,1
4,0.18213,1
4,0.18324,1
4,0.18435,1
4,0.18546,1
4,0.18657,1
4,0.18768,1
4,0.18879,1
4,0.1899,1
4,0.19101,1
4,0.19212,1
4,0.19323,1
4,0.19434,1
4,0.19545,1
4,0.19656,1
4,0.19767,1
4,0.19878,1
4,0.19989,1
4,0.201,1
4,0.20211,1
4,0.20322,1
4,0.20433,1
4,0.20544,1
4,0.20655,1
4,0.20766,1
4,0.20877,1
4,0.20988,1
4,0.21099,1
4,0.2121,1
4,0.21321,1
4,0.21432,1
4,0.21543,1
4,0.21654,1
4,0.21765,1
4,0.21876,1
4,0.21987,1
4,0.22098,1
4,0.22209,1
4,0.2232,1
4,0.22431,1
4,0.22542,1
4,0.22653,1
4,0.22764,1
4,0.22875,1
4,0.22986,1
4,0.23097,1
4,0.23208,1
4,0.23319,1
4,0.2343,1
4,0.23541,1
4,0.23652,1
4,0.23763,1
4,0.23874,1
4,0.23985,1
4,0.24096,1
4,0.24207,1
4,0.24318,1
4,0.24429,1
4,0.2454,1
4,0.24651,1
4,0.24762,1
4,0.24873,1
4,0.24984,1
4,0.25095,1
4,0.25206,1
4,0.25317,1
4,0.25428,1
4,0.25539,1
4,0.2565,1
4,0.25761,1
4,0.25872,1
4,0.25983,1
4,0.26094,1
4,0.26205,1
4,0.26316,1
4,0.26427,1
4,0.26538,1
4,0.26649,1
4,0.2676,1
4,0.26871,1
4,0.26982,1
4,0.27093,1
4,0.27204,1
4,0.27315,1
4,0.27426,1
4,0.27537,1
4,0.27648,1
4,0.27759,1
4,0.2787,1
4,0.27981,1
4,0.28092,1
4,0.28203,1
4,0.28314,1
4,0.28425,1
4,0.28536,1
4,0.28647,1
4,0.28758,1
4,0.28869,1
4,0.2898,1
4,0.29091,1
4,0.29202,1
4,0.29313,1
4,0.29424,1
4,0.29535,1
4,0.29646,1
4,0.29757,1
4,0.29868,1
4,0.29979,1
4,0.3009,1
4,0.30201,1
4,0.30312,1
4,0.30423,1
4,0.30535,1
4,0.30646,1
4,0.30757,1
4,0.30868,1
4,0.30979,1
4,0.3109,1
4,0.31201,1
4,0.31312,1
4,0.31423,1
4,0.31534,1
4,0.31645,1
4,0.31756,1
4,0.31867,1
4,0.31978,1
4,0.32089,1
4,0.322,1
4,0.32311,1
4,0.32422,1
4,0.32533,1
4,0.32644,1
4,0.32755,1
4,0.32866,1
4,0.32977,1
4,0.33088,1
4,0.33199,1
4,0.3331,1
4,0.33421,1
4,0.33532,1
4,0.33643,1
4,0.33754,1
4,0.33865,1
4,0.33976,1
4,0.34087,1
4,0.34198,1
4,0.34309,1
4,0.3442,1
4,0.34531,1
4,0.34642,1
4,0.34753,1
4,0.34864,1
4,0.34975,1
4,0.35086,1
4,0.35197,1
4,0.35308,1
4,0.35419,1
4,0.3553,1
4,0.35641,1
4,0.35752,1
4,0.35863,1
4,0.35974,1
4,0.36085,1
4,0.36196,1
4,0.36307,1
4,0.36418,1
4,0.36529,1
4,0.3664,1
4,0.36751,1
4,0.36862,1
4,0.36973,1
4,0.37084,1
4,0.37195,1
4,0.37306,1
4,0.37417,1
4,0.37528,1
4,0.37639,1
4,0.3775,1
4,0.37861,1
4,0.37972,1
4,0.38083,1
4,0.38194,1
4,0.38305,1
4,0.38416,1
4,0.38527,1
4,0.38638,1
4,0.38749,1
4,0.3886,1
